"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"invader5",2.89482041895028,3.61206348518545,0,8.68446125685085,0,2.45909806159848,5.42932823136885,2.94776416258903,3.25344195206787,0.0141508449162463,0.134028213254525,0.15150958280368,0.988835539494147
"invader6",21.0488734681552,17.9342513978995,13.0157654209127,20.842707016442,29.288147967111,19.6727844927879,14.4782086169836,19.6517610839269,19.4915624330273,-0.00697598926609412,0.130012103781589,0.80974798511946,0.988835539494147
"Ivk",33.0017312069009,38.5820505030607,42.3012376179661,34.7378450274034,21.9661109753333,47.9524122011704,34.3857454653361,33.4079938426757,35.7918908549808,0.0226349237542322,0.13008793007325,0.551625968417661,0.988835539494147
"jockey",70.6118994680405,57.1252973116565,70.5020626966102,60.791228797956,80.5424069095553,60.2479025091629,56.1030583908115,55.0249310349952,63.8685983898485,-0.0376193649863227,0.131813029398384,0.399146629515099,0.988835539494147
"jockey2",32.3608305053906,29.0674508897435,26.0315308418253,20.842707016442,50.2082536579046,25.8205296467841,28.9564172339672,32.4254057884793,30.7141406975671,-0.0075674225581526,0.128592924268244,0.82788998313628,0.988835539494147
"Juan",73.405268679817,81.6911849784342,79.1792396438853,46.8960907869946,94.1404756085712,54.1001573551667,76.0105952391639,114.962802340972,77.5482268291256,0.0124284695483324,0.12634590486511,0.76527285257749,0.988835539494147
"looper1",5.53560443676364,3.52225449059071,1.62697067761408,3.47378450274034,11.5060581299365,3.68864709239773,0,6.8781163793744,4.52892946367717,-0.00614156488352697,0.132721141227992,0.676806435744092,0.988835539494147
"mariner2",6.01107766855821,3.79973578230466,7.59252982886571,5.21067675411051,5.2300264226984,8.6068432155947,1.80977607712295,0.982588054196343,4.90540672543144,-0.0142950799756024,0.133510006304435,0.364749684444095,0.988835539494147
"Max-element",1033.42166899402,1031.13833648827,1065.12347027802,666.966624526145,1368.1749121779,1390.00517931854,622.562970530295,1080.84685961598,1032.28000274115,-0.00355504122215976,0.119328204176011,0.949223236657504,0.988835539494147
"McClintock",40.0057171994624,41.946587372774,27.1161779602347,52.1067675411051,40.7942060970475,35.656921893178,59.7226105450574,30.4602296800866,40.9761522861182,0.00610214622480687,0.127288706791897,0.875000034096403,0.988835539494147
"mdg1",293.025518511019,256.347681313738,234.826101135632,399.485217815139,244.765236582285,221.318825543864,304.042380956656,243.681837440693,274.686599912378,-0.031047260634303,0.123896996959115,0.559549673893651,0.988835539494147
"mdg3",330.097550892086,487.847451467147,184.932333688801,204.95328566168,600.407033325776,248.983678736847,903.078262484352,311.480413180241,408.972501179616,0.0425833663883292,0.137357585796707,0.216859339274333,0.988835539494147
